Name,Latitude,Longitude,State,Country,Operational Status
Goldberg Stagefield AL,31.4151605009,-85.4634025079,Alabama,United States,Active
Wheeler Army Airfield,21.4754122511,-158.035536784,Hawaii,United States,Active
Milan AAP,35.8738381813,-88.7061284354,Tennessee,United States,Active
Longhorn AAP,32.6750303069,-94.133877757,Texas,United States,Inactive
Camp Frank D Merrill,34.7104639208,-84.1658763605,Georgia,United States,Active
Allegany Ballistics Lab,39.5492530381,-78.8457345414,West Virginia,United States,Active
Nimitz Hill,13.4658622049,144.723204156,Guam,Guam,Active
White Bluff,47.7027134391,-117.577508532,Washington,United States,Active
The Barry M Goldwater Air Force Range,32.64061507,-113.055868336,Arizona,United States,Active
NG Hammond Airport,30.5230982285,-90.412182537,Louisiana,United States,Active
NG MTA Clarks Hill Reservation,33.7944394521,-82.2777706272,South Carolina,United States,Active
NG Lane County AFRC FMS 5,44.065667942,-122.977783398,Oregon,United States,Active
NG Bog Brook Training Site,44.3965120263,-70.9365409929,Maine,United States,Active
San Pedro Fuel Depot,33.7730532491,-118.301027333,California,United States,Active
Target 101 Shade Tree,32.9489566811,-115.750656601,California,United States,Active
Ramey AF Solar Observatory Research Site,18.5094327133,-67.0991288097,Puerto Rico,Puerto Rico,Active
Nellis Air Force Range,37.3063972082,-116.198549994,Nevada,United States,Active
Tac X Stagefield AL,31.122537386,-85.9790965172,Alabama,United States,Active
Fort Lewis,47.0544740533,-122.552700903,Washington,United States,Active
Hunter Army Airfield,32.0096565094,-81.1535601851,Georgia,United States,Active
Green River Test Complex UT,38.9584020247,-110.096989229,Utah,United States,Inactive
Apra Heights,13.4015824973,144.67867992,Guam,Guam,Active
Andy South,13.5080101985,144.865759041,Guam,Guam,Active
Marysville WA,48.1237034582,-122.171056043,Washington,United States,Active
Laughlin AFB Aux 1,29.1183865271,-100.47229345,Texas,United States,Active
Joint Base Charleston Naval Weapons Station,32.9629279333,-79.9635724771,South Carolina,United States,Active
Luke Waste Annex,33.538406301,-112.321762273,Arizona,United States,Active
Great Falls IAP,47.4765456036,-111.364979591,Montana,United States,Active
Hector IAP,46.913722408,-96.8044644308,North Dakota,United States,Active
Stewart IAP,41.501405282,-74.0843453548,New York,United States,Active
Burlington IAP,44.4744278549,-73.1478968168,Vermont,United States,Active
Canyon Lake Recreation Annex,29.8846193966,-98.2193812601,Texas,United States,Active
NG Camp Dodge Johnston TS,41.81021516,-93.7813025881,Iowa,United States,Active
NG Fort Indiantown Gap,40.4359467182,-76.6296904585,Pennsylvania,United States,Active
NG Fort Wolters,32.8648656985,-98.0295707976,Texas,United States,Active
NG Beauregard Training Range,31.4394196846,-92.2955559116,Louisiana,United States,Active
NG ITC Camp San Luis Obisbo,35.3391521049,-120.703075007,California,United States,Active
NG Ft Allen Rq 177,18.0130410519,-66.5056515785,Puerto Rico,Puerto Rico,Active
NG TS Ethan Allen Range,44.4717265822,-72.896538843,Vermont,United States,Active
NG Gulfport AVCRAD,30.4161868882,-89.062874432,Mississippi,United States,Active
NG Camp Swift,30.2616699455,-97.2945537016,Texas,United States,Active
JBAB Anacostia Bolling,38.8448751542,-77.0147335466,District of Columbia,United States,Active
Honolulu,21.3462993357,-157.922047733,Hawaii,United States,Active
NAS JRB New Orleans LA,29.8313631946,-90.0208667897,Louisiana,United States,Active
NOLF Spencer,30.6253166375,-87.1398275231,Florida,United States,Active
NOTU Cape Canaveral,28.4282639805,-80.588426762,Florida,United States,Active
NAVWPNSYSTRAFAC Boardman,45.72074181,-119.687435193,Oregon,United States,Active
NAVSTA Everett WA,47.9883156828,-122.223175004,Washington,United States,Active
NAS Whidbey Island WA,48.3386378202,-122.661500903,Washington,United States,Active
Redstone Arsenal,34.6328507804,-86.6571701025,Alabama,United States,Active
Fort Huachuca,31.567419034,-110.329649033,Arizona,United States,Active
Cairns Basefield AL,31.2786073023,-85.7149945144,Alabama,United States,Active
Runkle Stagefield AL,31.3403853788,-86.091887871,Alabama,United States,Active
Aliamanu Military Reservation,21.3618785619,-157.911388913,Hawaii,United States,Active
Dillingham Mil Res,21.5762316637,-158.198775803,Hawaii,United States,Active
Def Gen Supply Center,37.4187717327,-77.447528995,Virginia,United States,Active
Fort Benning AL,32.2838712304,-84.9548431105,Alabama,United States,Active
TBR Main,31.5484913702,-81.6199877022,Georgia,United States,Active
Syracuse MCRC,43.1001011135,-76.1210991111,New York,United States,Active
Tinker Support Annex,35.4036965841,-97.3603027818,Oklahoma,United States,Active
Fort Fisher Recreation Site,33.9811703229,-77.9164586721,North Carolina,United States,Active
Barksdale AFB,32.5002809582,-93.5999413403,Louisiana,United States,Active
Cannon AFB,34.3840149372,-103.321106281,New Mexico,United States,Active
Cannon AFB Site 2,34.4091917117,-103.328244295,New Mexico,United States,Active
Luke Air Force Auxiliary Field No 1,33.7159742765,-112.527923384,Arizona,United States,Active
Gulfport-Biloxi Regional Airport (ANG),30.4107264037,-89.0612086467,Mississippi,United States,Active
NG Auburn Training Site,44.0862933486,-70.2827983551,Maine,United States,Active
NG Bangor Training Site,44.8095482939,-68.8333959892,Maine,United States,Active
NG Santa Fe - Onate Complex TS,35.5697139671,-106.081041964,New Mexico,United States,Active
NG TS BBTS,38.5475743328,-75.0633012841,Delaware,United States,Active
NG Camp Murray,47.1167164937,-122.56884003,Washington,United States,Active
NG Williamstown,39.3531258872,-81.4421100584,West Virginia,United States,Active
NG Camp Mabry,30.3186106075,-97.7615720588,Texas,United States,Active
NG Mitchell Complex,43.7618744147,-98.0438934226,South Dakota,United States,Active
Imperial Beach NOLF,32.5624031522,-117.112009859,California,United States,Active
NAS Lemoore CA,36.3191796478,-119.93398605,California,United States,Active
Harbor Drive,32.7246963035,-117.218431918,California,United States,Active
NGA Arnold Site,38.4161872655,-90.3986079959,Missouri,United States,Active
Nellis AFB,36.2692051709,-114.98483901,Nevada,United States,Active
Naval Base Kitsap Bremerton WA,47.5555933853,-122.652356505,Washington,United States,Active
Fort Lee,37.2494396184,-77.3347277202,Virginia,United States,Active
Us Army Joint Sys Mfg CtrLima,40.6996401966,-84.1328894032,Ohio,United States,Active
Grand Prairie Reserve Complex,32.7399583948,-96.9564403611,Texas,United States,Active
Kipapa Ammo Storage Site,21.4396274449,-158.003109942,Hawaii,United States,Inactive
NAVSTA Norfolk VA,36.9433080035,-76.3015136921,Virginia,United States,Active
Webster Field,38.145841636,-76.4278909867,Maryland,United States,Active
Point Arena Air Force Station,38.891840042,-123.546579136,California,United States,Inactive
Dobbins ARB,33.9174086513,-84.5192362187,Georgia,United States,Active
Columbus AFB,33.6413120873,-88.4511187521,Mississippi,United States,Active
Bangor IAP,44.8175673815,-68.8298013821,Maine,United States,Active
McGhee Tyson Airport,35.8114939421,-84.0036709533,Tennessee,United States,Active
Gen Mitchell IAP,42.9410456217,-87.8879842837,Wisconsin,United States,Active
W K Kellogg,42.3152607726,-85.2517650226,Michigan,United States,Active
NG Stones Ranch Military Res,41.365115238,-72.2719883265,Connecticut,United States,Active
NG Jackson Bks,29.9610820259,-90.0054600369,Louisiana,United States,Active
NG Shelbyville,39.5789596414,-85.8110236465,Indiana,United States,Active
NG Camp Ravenna Joint Military Training Center,41.1971787101,-81.0848343174,Ohio,United States,Active
NG Rochester NGA and OMS 2,43.9969533709,-92.431667564,Minnesota,United States,Active
NG Youngstown Tng Site,43.2374990056,-78.9726913885,New York,United States,Active
NG Ethan Allen AFB MTA,44.5098902146,-73.1635564756,Vermont,United States,Active
NG Camp Rapid,44.0801387023,-103.266957925,South Dakota,United States,Active
Kamokala Ridge,22.0390260692,-159.754233043,Hawaii,United States,Active
JBPHH Pearl Harbor HI,21.3365657616,-157.947911019,Hawaii,United States,Active
Vieques West PR,18.0962543996,-65.5122515814,Puerto Rico,Puerto Rico,Active
Trumbo Point Annex,24.564687961,-81.7912167283,Florida,United States,Active
Santa Cruz Island,33.9949571838,-119.633496836,California,United States,Active
Tumon Tank Farm,13.517951387,144.811096236,Guam,Guam,Active
Allen Stagefield AL,31.2309993833,-85.6506347178,Alabama,United States,Active
Louisville Stagefield AL,31.8157331822,-85.6497984957,Alabama,United States,Active
White Sands Missile Range NM,33.1594636742,-106.425696182,New Mexico,United States,Active
Fort Monroe,37.0130203962,-76.3043760544,Virginia,United States,Inactive
MCB Camp Smith,21.3866284869,-157.905641308,Hawaii,United States,Active
MC Trng Area Bellows,21.3621462703,-157.718266082,Hawaii,United States,Active
Glenview,42.0917332083,-87.836545042,Illinois,United States,Active
ALF Orange,27.8965304593,-98.0434307225,Texas,United States,Active
McClellan AFB,38.6628404569,-121.403205934,California,United States,Inactive
Saylor Creek Air Force Range,42.7402329675,-115.563336812,Idaho,United States,Active
Laughlin AFB,29.3567318395,-100.782932919,Texas,United States,Active
Buckley AFB,39.7066728959,-104.757676168,Colorado,United States,Active
Tyndall AFB,30.0454712012,-85.5513688862,Florida,United States,Active
Columbus Auxiliary Airfield,32.9398358551,-88.5791426256,Mississippi,United States,Active
Goodfellow AFB,31.4321781557,-100.404389232,Texas,United States,Active
Fort Richardson,61.2656445617,-149.641025468,Alaska,United States,Active
Birch Lake Recreation Annex,64.3175377667,-146.646980929,Alaska,United States,Active
Louisville IAP-Standiford FL Site 1,38.1779889015,-85.7237952525,Kentucky,United States,Active
Kelly AFB,29.3820160313,-98.5645372905,Texas,United States,Active
NG Camp Joseph T Robinson,34.9000362492,-92.3068019391,Arkansas,United States,Active
NG Camp Ashland,41.0800682176,-96.3363620056,Nebraska,United States,Active
NG Bethel ARM FMS,60.7955330346,-161.767465275,Alaska,United States,Inactive
NG GUARNG Barrigada Complex,13.4740733886,144.809884745,Guam,Guam,Active
NG Volkstone,39.4547971565,-79.6692506335,West Virginia,United States,Active
NAVBASE Coronado,32.7000190451,-117.207088939,California,United States,Active
Finegayan South,13.5499832925,144.830853077,Guam,Guam,Active
Grand Forks Defense Fuel Support Point,47.9486816236,-97.0860532381,North Dakota,United States,Active
CSO Barbers Point HI,21.312229301,-158.066092323,Hawaii,United States,Inactive
Fort Bliss,32.26208341,-106.075404444,Texas,United States,Active
Jim Creek,48.1997770937,-121.925681299,Washington,United States,Active
Presidio of Monterey,36.6032534708,-121.912105279,California,United States,Active
Fort Buchanan,18.4127920097,-66.1214794902,Puerto Rico,Puerto Rico,Active
Fire Fighters School,36.9215240082,-76.322723548,Virginia,United States,Active
Magazine Reservoir Naval Magazine,13.3903260139,144.686307577,Guam,Guam,Active
Arnold,35.3646392145,-86.0796716743,Tennessee,United States,Active
Eglin AFB Site 2 Santa Rosa Island,30.394460792,-86.7427418884,Florida,United States,Active
Poinsett Range,33.7961254892,-80.4817960181,South Carolina,United States,Active
Whiteman AFB,38.7299115089,-93.5553845227,Missouri,United States,Active
Niagara Falls,43.1132212142,-78.9500571676,New York,United States,Active
Cusick Survival Training Site,48.4515209628,-117.373850327,Washington,United States,Active
Truax ANGB,43.1306561021,-89.3361064283,Wisconsin,United States,Active
Ellington Field,29.6160801417,-95.1704814148,Texas,United States,Active
Lincoln Map,40.841020615,-96.7538721771,Nebraska,United States,Active
JBSA Sam Houston,29.4595308379,-98.4407138221,Texas,United States,Active
NG McConnelsville Training Site,39.6614390075,-81.8394982857,Ohio,United States,Active
NG St Cloud AASF,45.5390766509,-94.0557892236,Minnesota,United States,Active
NG Camp Pendleton SMR,36.8161399548,-75.9791524396,Virginia,United States,Active
NG Jackson Airport Armory,35.5981462433,-88.9129589106,Tennessee,United States,Active
ALF Cabaniss,27.7013359207,-97.4363492634,Texas,United States,Active
San Nicolas Island,33.2479609439,-119.506113048,California,United States,Active
NAS Whiting Field Milton FL,30.7137475905,-87.0201884489,Florida,United States,Active
Fort Knox,37.9070173886,-85.8831225305,Kentucky,United States,Active
Fort Leonard Wood,37.7054875554,-92.1571252371,Missouri,United States,Active
Fort Rucker AL,31.4040790084,-85.7473894209,Alabama,United States,Active
Detroit Arsenal,42.4973285111,-83.0413341243,Michigan,United States,Active
Fort Greely,63.9667780882,-145.715113744,Alaska,United States,Active
Jefferson Proving Ground,38.9504184947,-85.4176312593,Indiana,United States,Inactive
Riverbank AAP,37.7212275293,-120.919493007,California,United States,Inactive
NSY Portsmouth,43.0813485814,-70.7333351232,Maine,United States,Active
